0 ~Minifig Hair with Ponytail and Baseball Cap - Cap Half
0 Name: s\35660s01.dat
0 Author: Philippe Hurbain [Philo]
0 !LDRAW_ORG Subpart UPDATE 2020-02
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 2019-12-01 {Mecabricks} Original part shape
0 !HISTORY 2019-12-01 [Philo] File preparation for LDraw Parts Tracker
0 !HISTORY 2020-09-05 [PTadmin] Official Update 2020-02

4 16 6.685 2.89 -25.2375 6.5975 3.7825 -25.415 9.04 4.9625 -23.56 9.1225 4.2 -23.4025
4 16 4.035 2.705 -26.6075 6.5975 3.7825 -25.415 6.685 2.89 -25.2375 4.105 1.695 -26.4375
3 16 3.3325 -10.24 2.685 3.7575 -10.2125 1.9375 4.2125 -9.8892 1.9875
3 16 5.5267 -9.3542 0.9117 4.2125 -9.8892 1.9875 3.7575 -10.2125 1.9375
3 16 5.235 -9.765 0.4475 5.5267 -9.3542 0.9117 3.7575 -10.2125 1.9375
3 16 7.0025 2.0625 -18.88 7.3008 2.4292 -19.0817 7.9517 2.5533 -17.4467
3 16 7.64 2.1825 -17.34 7.0025 2.0625 -18.88 7.9517 2.5533 -17.4467
3 16 6.3742 2.11 -20.5567 7.3008 2.4292 -19.0817 7.0025 2.0625 -18.88
3 16 6.1125 1.7775 -20.2625 6.3742 2.11 -20.5567 7.0025 2.0625 -18.88
3 16 3.6275 1.02 -23.3 1.8375 0.59 -23.8175 1.855 0.65 -24.4275
3 16 3.7275 1.115 -23.8625 3.6275 1.02 -23.3 1.855 0.65 -24.4275
4 16 1.855 0.65 -24.4275 1.8375 0.59 -23.8175 0 0.4125 -23.965 0 0.4725 -24.62
3 16 1.95 1.0675 -27.02 1.8675 0.73 -25.535 0 0.55 -25.7075
3 16 0 0.8925 -27.1575 1.95 1.0675 -27.02 0 0.55 -25.7075
4 16 3.8275 1.2675 -24.9375 1.8675 0.73 -25.535 1.95 1.0675 -27.02 4.105 1.695 -26.4375
3 16 0 1.89 -27.2575 1.91 2.085 -27.15 1.95 1.0675 -27.02
3 16 0 0.8925 -27.1575 0 1.89 -27.2575 1.95 1.0675 -27.02
3 16 1.95 1.0675 -27.02 1.91 2.085 -27.15 4.035 2.705 -26.6075
3 16 4.105 1.695 -26.4375 1.95 1.0675 -27.02 4.035 2.705 -26.6075
3 16 10.0025 3.4025 -15.675 8.9825 2.71 -15.715 8.515 2.7725 -17.52
3 16 9.41 3.3925 -17.71 10.0025 3.4025 -15.675 8.515 2.7725 -17.52
3 16 8.7908 2.2575 -14.1592 8.9825 2.71 -15.715 9.815 2.86 -14.03
4 16 9.815 2.86 -14.03 8.9825 2.71 -15.715 10.0025 3.4025 -15.675 10.905 3.5758 -13.8358
3 16 10.855 5.1725 -20.9075 9.2875 3.705 -20.0175 7.9425 3.065 -22.0225
3 16 9.1225 4.2 -23.4025 10.855 5.1725 -20.9075 7.9425 3.065 -22.0225
3 16 10.195 4.04 -17.8475 9.2875 3.705 -20.0175 10.855 5.1725 -20.9075
3 16 12.0025 5.725 -18.1475 10.195 4.04 -17.8475 10.855 5.1725 -20.9075
3 16 14.255 2.9675 -4.27 14.61 5.0325 -4.595 14.9425 5.145 -0.8175
3 16 14.5725 3.2225 -0.57 14.255 2.9675 -4.27 14.9425 5.145 -0.8175
3 16 13.24 6.295 -13.18 13.5825 5.9575 -11.3575 13.3975 5.1925 -11.4894
3 16 13.0825 5.5575 -13.335 13.24 6.295 -13.18 13.3975 5.1925 -11.4894
4 16 12.0625 -4.56 -1.4375 12.065 -4.6375 -4.3975 13.19 -2.09 -2.555 13.18 -2.01 0.67
3 16 13.005 -2.075 -5.935 13.19 -2.09 -2.555 12.065 -4.6375 -4.3975
3 16 12.065 -4.6375 -4.3975 12.0625 -4.56 -1.4375 10.5 -6.7675 -2.5075
3 16 10.575 -6.5325 -0.1775 10.5 -6.7675 -2.5075 12.0625 -4.56 -1.4375
3 16 10.575 -6.5325 -0.1775 12.0625 -4.56 -1.4375 11.9025 -4.41 1.3925
3 16 10.15 -6.46 2.1775 10.575 -6.5325 -0.1775 11.9025 -4.41 1.3925
3 16 13.18 -2.01 0.67 11.9025 -4.41 1.3925 12.0625 -4.56 -1.4375
3 16 9.2875 3.705 -20.0175 8.8467 3.5075 -19.8017 7.5725 2.9333 -21.6508
3 16 7.9425 3.065 -22.0225 9.2875 3.705 -20.0175 7.5725 2.9333 -21.6508
3 16 9.7217 3.7958 -17.7525 8.8467 3.5075 -19.8017 9.2875 3.705 -20.0175
3 16 10.195 4.04 -17.8475 9.7217 3.7958 -17.7525 9.2875 3.705 -20.0175
3 16 12.9625 0.8075 -8.4975 13.1917 0.915 -7.7717 12.5633 -2.0583 -6.5717
3 16 12.385 -2.26 -7.2925 12.9625 0.8075 -8.4975 12.5633 -2.0583 -6.5717
4 16 1.865 3.44 -19.7 0 3.2725 -19.8375 0 3.6083 -12.9026 3.335 3.9 -12.45
4 16 0 3.2725 -19.8375 1.865 3.44 -19.7 1.82 3.04 -26.94 0 2.8725 -27.0375
3 16 1.82 3.04 -26.94 1.865 3.44 -19.7 3.7125 3.87 -19.285
3 16 3.85 3.6225 -26.4275 1.82 3.04 -26.94 3.7125 3.87 -19.285
4 16 3.7125 3.87 -19.285 1.865 3.44 -19.7 3.335 3.9 -12.45 4.9749 4.3 -12.0104
3 16 14.865 6.6375 -4.505 15.235 6.83 -1.0325 14.9425 5.145 -0.8175
3 16 14.61 5.0325 -4.595 14.865 6.6375 -4.505 14.9425 5.145 -0.8175
4 16 2.1925 -2.0575 -12.905 2.1075 -0.91 -13.74 4.235 -0.32 -13.62 4.405 -1.5075 -12.72
4 16 4.235 -0.32 -13.62 2.1075 -0.91 -13.74 2.055 -0.48 -15.2 4.09 0.06 -14.9975
4 16 2.055 -0.48 -15.2 2.1075 -0.91 -13.74 0 -1.1175 -13.7925 0 -0.685 -15.26
4 16 0 -1.1175 -13.7925 2.1075 -0.91 -13.74 2.1925 -2.0575 -12.905 0 -2.2225 -12.975
3 16 6.3025 4.665 -25.3225 5.54 4.5375 -18.5575 7.175 5.2225 -17.34
3 16 8.685 5.8225 -23.5625 6.3025 4.665 -25.3225 7.175 5.2225 -17.34
3 16 7.175 5.2225 -17.34 5.54 4.5375 -18.5575 6.445 4.75 -11.1625
3 16 6.445 4.75 -11.1625 5.54 4.5375 -18.5575 3.7125 3.87 -19.285
3 16 3.7125 3.87 -19.285 5.54 4.5375 -18.5575 6.3025 4.665 -25.3225
