0 ~Spinner Ninjago  6 x  6 x  1.333 Type 1 Top - Outer Surface
0 Name: s\92548s02.dat
0 Author: Massimo Maso [Sirio]
0 !LDRAW_ORG Subpart UPDATE 2020-03
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 2020-12-29 [PTadmin] Official Update 2020-03

0 // Faces

4 16 0 0 -60 0 2 -60 3.0616 2.6088 -59.79821 7.83 0 -59.484
3 16 3.0616 2.6088 -59.79821 5.6568 4.3432 -59.6272 7.83 0 -59.484
3 16 5.6568 4.3432 -59.6272 7.3912 6.9384 -59.51293 7.83 0 -59.484
4 16 7.3912 6.9384 -59.51293 7.6022 8 -59.499 7.83 8 -59.484 7.83 0 -59.484
4 16 7.83 0 -59.484 7.83 8 -59.484 15.528 8 -57.954 15.528 0 -57.954
4 16 15.528 0 -57.954 15.528 8 -57.954 22.962 8 -55.434 22.962 0 -55.434
4 16 22.962 0 -55.434 22.962 8 -55.434 30 8 -51.96 30 0 -51.96
4 16 30 0 -51.96 30 8 -51.96 36.528 8 -47.604 36.528 0 -47.604
4 16 36.528 0 -47.604 36.528 8 -47.604 40.4588 8 -44.153 42.426 0 -42.426
3 16 42.426 0 -42.426 40.4588 8 -44.153 42.426 10.5 -42.426
3 16 42.426 0 -42.426 42.426 10.5 -42.426 44.153 13 -40.4588
4 16 42.426 0 -42.426 44.153 13 -40.4588 47.604 13 -36.528 47.604 0 -36.528
4 16 47.604 0 -36.528 47.604 13 -36.528 51.96 13 -30 51.96 0 -30
4 16 51.96 0 -30 51.96 13 -30 55.434 13 -22.962 55.434 0 -22.962
4 16 55.434 0 -22.962 55.434 13 -22.962 57.954 13 -15.528 57.954 0 -15.528
4 16 57.954 0 -15.528 57.954 13 -15.528 59.484 13 -7.83 59.484 0 -7.83
4 16 59.484 0 -7.83 59.484 13 -7.83 60 13 0 60 0 0
4 16 60 0 0 60 13 0 59.484 13 7.83 59.484 0 7.83
4 16 59.484 0 7.83 59.484 13 7.83 57.954 13 15.528 57.954 0 15.528
4 16 57.954 0 15.528 57.954 13 15.528 55.434 13 22.962 55.434 0 22.962
4 16 55.434 0 22.962 55.434 13 22.962 51.96 13 30 51.96 0 30
4 16 51.96 0 30 51.96 13 30 47.604 13 36.528 47.604 0 36.528
4 16 47.604 0 36.528 47.604 13 36.528 44.153 13 40.4588 42.426 0 42.426
3 16 42.426 0 42.426 44.153 13 40.4588 42.426 10.5 42.426
3 16 42.426 0 42.426 42.426 10.5 42.426 40.4588 8 44.153
4 16 42.426 0 42.426 40.4588 8 44.153 36.528 8 47.604 36.528 0 47.604
4 16 36.528 0 47.604 36.528 8 47.604 30 8 51.96 30 0 51.96
4 16 30 0 51.96 30 8 51.96 22.962 8 55.434 22.962 0 55.434
4 16 22.962 0 55.434 22.962 8 55.434 15.528 8 57.954 15.528 0 57.954
4 16 15.528 0 57.954 15.528 8 57.954 7.83 8 59.484 7.83 0 59.484
4 16 7.83 0 59.484 7.83 8 59.484 0 8 60 0 0 60
4 16 0 2 -60 0 2 -59 3.0616 2.6088 -59 3.0616 2.6088 -59.79821
4 16 3.0616 2.6088 -59.79821 3.0616 2.6088 -59 5.6568 4.3432 -59 5.6568 4.3432 -59.6272
4 16 5.6568 4.3432 -59.6272 5.6568 4.3432 -59 7.3912 6.9384 -59 7.3912 6.9384 -59.51293
4 16 7.3912 6.9384 -59.51293 7.3912 6.9384 -59 7.6022 8 -59 7.6022 8 -59.499
3 16 7.83 8 -59.484 7.6022 8 -59.499 7.6022 8 -59
4 16 7.83 8 -59.484 7.6022 8 -59 7.6022 8 -58.4994 7.6995 8 -58.4926
4 16 7.83 8 -59.484 7.6995 8 -58.4926 15.2692 8 -56.9881 15.528 8 -57.954
4 16 15.528 8 -57.954 15.2692 8 -56.9881 22.5793 8 -54.5101 22.962 8 -55.434
4 16 22.962 8 -55.434 22.5793 8 -54.5101 29.5 8 -51.094 30 8 -51.96
4 16 30 8 -51.96 29.5 8 -51.094 35.9192 8 -46.8106 36.528 8 -47.604
4 16 36.528 8 -47.604 35.9192 8 -46.8106 39.7846 8 -43.4173 40.4588 8 -44.153
3 16 40.4588 8 -44.153 39.7846 8 -43.4173 41.7189 10.5 -41.7189
3 16 41.7189 10.5 -41.7189 42.426 10.5 -42.426 40.4588 8 -44.153
3 16 42.426 10.5 -42.426 41.7189 10.5 -41.7189 43.4173 13 -39.7846
3 16 43.4173 13 -39.7846 44.153 13 -40.4588 42.426 10.5 -42.426
4 16 44.153 13 -40.4588 43.4173 13 -39.7846 46.8106 13 -35.9192 47.604 13 -36.528
4 16 47.604 13 -36.528 46.8106 13 -35.9192 51.094 13 -29.5 51.96 13 -30
4 16 51.96 13 -30 51.094 13 -29.5 54.5101 13 -22.5793 55.434 13 -22.962
4 16 55.434 13 -22.962 54.5101 13 -22.5793 56.9881 13 -15.2692 57.954 13 -15.528
4 16 57.954 13 -15.528 56.9881 13 -15.2692 58.4926 13 -7.6995 59.484 13 -7.83
4 16 59.484 13 -7.83 58.4926 13 -7.6995 59 13 0 60 13 0
4 16 60 13 0 59 13 0 58.4926 13 7.6995 59.484 13 7.83
4 16 59.484 13 7.83 58.4926 13 7.6995 56.9881 13 15.2692 57.954 13 15.528
4 16 57.954 13 15.528 56.9881 13 15.2692 54.5101 13 22.5793 55.434 13 22.962
4 16 55.434 13 22.962 54.5101 13 22.5793 51.094 13 29.5 51.96 13 30
4 16 51.96 13 30 51.094 13 29.5 46.8106 13 35.9192 47.604 13 36.528
4 16 39.7846 8 43.4173 35.9192 8 46.8106 36.528 8 47.604 40.4588 8 44.153
3 16 41.7189 10.5 41.7189 39.7846 8 43.4173 40.4588 8 44.153
3 16 40.4588 8 44.153 42.426 10.5 42.426 41.7189 10.5 41.7189
3 16 43.4173 13 39.7846 41.7189 10.5 41.7189 42.426 10.5 42.426
3 16 42.426 10.5 42.426 44.153 13 40.4588 43.4173 13 39.7846
4 16 46.8106 13 35.9192 43.4173 13 39.7846 44.153 13 40.4588 47.604 13 36.528
