0 ~Animal Shell Clam Large - Sea Life Set - Half
0 Name: s\49595bs01.dat
0 Author: Gerald Lasser [GeraldLasser]
0 !LDRAW_ORG Subpart UPDATE 2026-01
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 2026-01-29 [OrionP] Official Update 2026-01

3 16 -13.599 -11.218 -2.462 -12.568 -5.5 -6.065 -10.589 -10.387 -6.255
3 16 -10.589 -10.387 -6.255 -8.605 -11.781 -5.06 -13.599 -11.218 -2.462
3 16 -8.605 -11.781 -5.06 -10.589 -10.387 -6.255 -8.561 -9.575 -8.696
3 16 -8.561 -9.575 -8.696 -6.997 -9.969 -8.422 -8.605 -11.781 -5.06
3 16 -13.599 -11.218 -2.462 -8.605 -11.781 -5.06 -11.233 -12.722 -.359
3 16 -8.605 -11.781 -5.06 -6.997 -9.969 -8.422 -5.571 -10.011 -8.268
3 16 -8.605 -11.781 -5.06 -6.627 -11.906 -4.093 -11.233 -12.722 -.359
3 16 -5.571 -10.011 -8.268 -6.627 -11.906 -4.093 -8.605 -11.781 -5.06
3 16 -11.233 -12.722 -.359 -6.627 -11.906 -4.093 -8.839 -12.68 1.48
3 16 -12.568 -5.5 -6.065 -13.599 -11.218 -2.462 -17.844 -5.5 .208
3 16 -17.844 -5.5 .208 -13.599 -11.218 -2.462 -16.324 -11.051 1.273
3 16 -11.233 -12.722 -.359 -16.324 -11.051 1.273 -13.599 -11.218 -2.462
3 16 -18.045 -9.57 3.665 -17.844 -5.5 .208 -16.324 -11.051 1.273
3 16 -19.082 -5.5 2.303 -17.844 -5.5 .208 -18.045 -9.57 3.665
3 16 -16.324 -11.051 1.273 -13.66 -12.481 4.14 -18.045 -9.57 3.665
3 16 -13.66 -12.481 4.14 -16.324 -11.051 1.273 -11.233 -12.722 -.359
3 16 -8.839 -12.68 1.48 -13.66 -12.481 4.14 -11.233 -12.722 -.359
3 16 -18.045 -9.57 3.665 -13.66 -12.481 4.14 -14.853 -11.255 6.63
3 16 -13.66 -12.481 4.14 -11.074 -11.952 6.047 -14.853 -11.255 6.63
3 16 -11.074 -11.952 6.047 -13.66 -12.481 4.14 -8.839 -12.68 1.48
3 16 -14.853 -11.255 6.63 -11.074 -11.952 6.047 -12.763 -10.405 8.777
3 16 -14.853 -11.255 6.63 -17.376 -9.599 6.993 -18.045 -9.57 3.665
3 16 -18.045 -9.57 3.665 -17.376 -9.599 6.993 -18.538 -7.905 5.456
3 16 -18.538 -7.905 5.456 -19.082 -5.5 2.303 -18.045 -9.57 3.665
3 16 -15.795 -9.521 8.687 -17.376 -9.599 6.993 -14.853 -11.255 6.63
3 16 -12.763 -10.405 8.777 -15.795 -9.521 8.687 -14.853 -11.255 6.63
3 16 -14.268 -7.209 10.626 -15.795 -9.521 8.687 -12.763 -10.405 8.777
3 16 -19.249 -5.5 4.638 -19.082 -5.5 2.303 -18.538 -7.905 5.456
3 16 -3.377 -10.24 -8.254 -3.851 -12.148 -3.631 -5.3 -12.156 -3.887
3 16 -3.851 -12.148 -3.631 -5.457 -12.712 2.645 -5.3 -12.156 -3.887
3 16 -5.3 -12.156 -3.887 -5.457 -12.712 2.645 -7.189 -12.927 1.972
