0 ~Animal Snake Large with Raised Head - without Patternable Surfaces
0 Name: s\38801s01.dat
0 Author: Gerald Lasser [GeraldLasser]
0 !LDRAW_ORG Subpart UPDATE 2025-05
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 2025-05-28 [OrionP] Official Update 2025-05


1 16 7.8675 -4.168 57.171 0 -8.49468 2.35114 4 0 0 0 6.17175 3.23607 4-4cylo.dat

3 16 .147 -28.099 -55.352 -.287 -29.811 -54.723 .513 -28.041 -52.356
3 16 .147 -28.099 -55.352 .513 -28.041 -52.356 1.464 -26.274 -53.045
3 16 1.745 -26.613 -56.122 .147 -28.099 -55.352 1.464 -26.274 -53.045
3 16 1.745 -26.613 -56.122 1.464 -26.274 -53.045 3.208 -24.934 -53.779
3 16 4.592 -25.917 -56.643 1.745 -26.613 -56.122 3.208 -24.934 -53.779
3 16 4.592 -25.917 -56.643 3.208 -24.934 -53.779 5.736 -24.444 -54.272
3 16 9.36 -30.436 -55.582 9.988 -26.953 -53.3 10.383 -29.049 -52.314
3 16 9.36 -30.436 -55.582 9.173 -28.267 -56.274 9.988 -26.953 -53.3
3 16 9.173 -28.267 -56.274 8.359 -25.091 -54.114 9.988 -26.953 -53.3
3 16 9.173 -28.267 -56.274 7.348 -26.573 -56.699 8.359 -25.091 -54.114
3 16 7.348 -26.573 -56.699 5.736 -24.444 -54.272 8.359 -25.091 -54.114
3 16 7.348 -26.573 -56.699 4.592 -25.917 -56.643 5.736 -24.444 -54.272
3 16 3.208 -24.934 -53.779 5.501 -22.58 -52.235 5.736 -24.444 -54.272
3 16 3.208 -24.934 -53.779 2.916 -23.202 -52.044 5.501 -22.58 -52.235
3 16 .895 -24.736 -51.483 2.916 -23.202 -52.044 3.208 -24.934 -53.779
3 16 .895 -24.736 -51.483 3.208 -24.934 -53.779 1.464 -26.274 -53.045
3 16 -.465 -26.52 -50.458 .895 -24.736 -51.483 1.464 -26.274 -53.045
3 16 -.465 -26.52 -50.458 1.464 -26.274 -53.045 .513 -28.041 -52.356
3 16 9.988 -26.953 -53.3 10.444 -26.285 -48.739 10.383 -29.049 -52.314
3 16 9.988 -26.953 -53.3 9.613 -24.265 -50.36 10.444 -26.285 -48.739
3 16 8.359 -25.091 -54.114 9.613 -24.265 -50.36 9.988 -26.953 -53.3
3 16 8.359 -25.091 -54.114 7.667 -22.751 -51.806 9.613 -24.265 -50.36
3 16 5.736 -24.444 -54.272 7.667 -22.751 -51.806 8.359 -25.091 -54.114
3 16 5.736 -24.444 -54.272 5.501 -22.58 -52.235 7.667 -22.751 -51.806
3 16 9.613 -24.265 -50.36 6.897 -22.313 -44.598 10.444 -26.285 -48.739
3 16 9.613 -24.265 -50.36 6.372 -20.357 -46.448 6.897 -22.313 -44.598
3 16 7.667 -22.751 -51.806 6.372 -20.357 -46.448 9.613 -24.265 -50.36
3 16 7.667 -22.751 -51.806 4.231 -19.143 -48.347 6.372 -20.357 -46.448
3 16 5.501 -22.58 -52.235 4.231 -19.143 -48.347 7.667 -22.751 -51.806
