0 Sticker  0.8 x  4.1 with Front Grille with Vertical Lines on Transparent Background (Formed)
0 Name: 6177741pc01.dat
0 Author: Massimo Maso [Sirio]
0 !LDRAW_ORG Part UPDATE 2025-05
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !KEYWORDS AMG, GT3, Mercedes, Set 75877, Speed Champions

0 !HISTORY 2025-05-28 [OrionP] Official Update 2025-05


1 16 34.436 -7.5317 0 0 -.5359 .844281 0 .844281 .5359 -1 0 0 s\6177741ps01.dat
1 16 34.436 -7.5317 0 0 -.435742 .900072 0 .900072 .435742 -1 0 0 s\6177741ps02.dat
1 16 21.648 -12.8828 0 0 -.336689 .941616 0 .941616 .336689 -1 0 0 s\6177741ps03.dat
1 16 21.648 -12.8828 0 0 -.238478 .971148 0 .971148 .238478 -1 0 0 s\6177741ps04.dat
1 16 7.384 -15.6525 0 0 -.143056 .989715 0 .989715 .143056 -1 0 0 s\6177741ps05.dat
1 16 7.384 -15.6525 0 0 -.047009 .998894 0 .998894 .047009 -1 0 0 s\6177741ps06.dat
1 16 -7.384 -15.6525 0 0 .047009 -.998894 0 .998894 .047009 -1 0 0 s\6177741ps06.dat
1 16 -7.384 -15.6525 0 0 .143056 -.989715 0 .989715 .143056 -1 0 0 s\6177741ps05.dat
1 16 -21.648 -12.8828 0 0 .238478 -.971148 0 .971148 .238478 -1 0 0 s\6177741ps04.dat
1 16 -21.648 -12.8828 0 0 .336689 -.941616 0 .941616 .336689 -1 0 0 s\6177741ps03.dat
1 16 -34.436 -7.5317 0 0 .435742 -.900072 0 .900072 .435742 -1 0 0 s\6177741ps02.dat
1 16 -34.436 -7.5317 0 0 .5359 -.844281 0 .844281 .5359 -1 0 0 s\6177741ps01.dat
1 16 0 0 0 0 0 1 0 1 0 -1 0 0 s\6177741es11.dat
