0 Sticker  2.5 x  2.7 with Blue Markings on Dark Bluish Grey Background (Formed)
0 Name: 6259665gc01.dat
0 Author: Evert-Jan Boer [ejboer]
0 !LDRAW_ORG Part UPDATE 2024-09
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !KEYWORDS podracer, Set 75258, Star Wars

0 !HISTORY 2024-10-27 [OrionP] Official Update 2024-09

4 0 -24.8964 -.25 -16.0201 -25.6469 -.25 -16.0201 -25.4908 -.25 -17.0214 -24.7167 -.25 -17.0214
4 0 -25.05 -.25 -19.85 -24.2 -.25 -19.9 -24.7167 -.25 -17.0214 -25.4908 -.25 -17.0214
4 0 -25.05 -.25 -19.85 -24.15 -.25 -23.8 -23.25 -.25 -23.9 -24.2 -.25 -19.9
4 0 -24.15 -.25 -23.8 -22.8 -.25 -28.15 -21.85 -.25 -28.1 -23.25 -.25 -23.9
4 0 -12.65 -.25 -27.65 -12.15 -.25 -28.9 -11.55 -.25 -29.2 -11.95 -.25 -27.75
4 0 -13.5 -.25 -26.7 -12.65 -.25 -27.65 -11.95 -.25 -27.75 -12.7 -.25 -26.65
4 0 -12.7 -.25 -26.65 -14.1 -.25 -25.8 -14.85 -.25 -26.1 -13.5 -.25 -26.7
4 0 -16.45 -.25 -25.75 -14.85 -.25 -26.1 -14.1 -.25 -25.8 -15.55 -.25 -25.4
4 0 -17.9 -.25 -25.5 -16.45 -.25 -25.75 -15.55 -.25 -25.4 -17.05 -.25 -25
4 0 -13.75 -.25 -22.6 -17.95 -.25 -25 -17.9 -.25 -25.5 -17.05 -.25 -25
3 0 -13.55 -.25 -21.75 -17.95 -.25 -25 -13.75 -.25 -22.6
4 0 -13.55 -.25 -21.75 -13.75 -.25 -22.6 -8.8335 -.25 -30.0378 -8.0793 -.25 -30.0378
4 0 -13.8405 -.25 -16.0201 -12.9 -.25 -18 -11.85 -.25 -18.5 -13.1396 -.25 -16.0201
4 0 -9.85 -.25 -22.2 -11.85 -.25 -18.5 -12.9 -.25 -18 -10.7 -.25 -22
4 0 -10.7 -.25 -22 -7.7 -.25 -27.3 -6.85 -.25 -27.4 -9.85 -.25 -22.2
4 0 -2.6647 -.25 -30.0378 -1.9152 -.25 -30.0378 -1.05 -.25 -28.85 -1.9 -.25 -29
4 0 -1.9 -.25 -29 -1.05 -.25 -28.85 -3.6 -.25 -24.65 -4.05 -.25 -25.55
4 0 -4.05 -.25 -25.55 -3.6 -.25 -24.65 -6.15 -.25 -20.4 -6.5 -.25 -21.35
4 0 -6.5 -.25 -21.35 -6.15 -.25 -20.4 -7.7 -.25 -17.7 -8.35 -.25 -18.15
4 0 -9.5388 -.25 -16.0201 -8.35 -.25 -18.15 -7.7 -.25 -17.7 -8.5894 -.25 -16.0201
4 0 -22.8 -.25 -28.15 -21.961 -.25 -30.0378 -20.9641 -.25 -30.0378 -21.85 -.25 -28.1
4 0 -12.1101 -.25 -30.0378 -11.6024 -.25 -30.0378 -11.55 -.25 -29.2 -12.15 -.25 -28.9
4 0 -10.9 -.25 -29.5 -11.1264 -.25 -30.0378 -10.5157 -.25 -30.0378 -10.45 -.25 -29.85
4 0 -10.9 -.25 -29.5 -10.45 -.25 -29.85 -9.95 -.25 -29.45 -10.45 -.25 -29.2
4 0 -10.45 -.25 -29.85 -10.2622 -.25 -30.0378 -9.5679 -.25 -30.0378 -9.95 -.25 -29.45
4 0 -6.85 -.25 -27.4 -7.7 -.25 -27.3 -5.9429 -.25 -30.0378 -5.2014 -.25 -30.0378
4 0 24.8964 -.25 -16.0201 24.2 -.25 -19.9 25.05 -.25 -19.85 25.6469 -.25 -16.0201
4 0 25.05 -.25 -19.85 24.2 -.25 -19.9 23.25 -.25 -23.9 24.15 -.25 -23.8
4 0 21.85 -.25 -28.1 22.8 -.25 -28.15 24.15 -.25 -23.8 23.25 -.25 -23.9
4 0 11.55 -.25 -29.2 12.15 -.25 -28.9 12.65 -.25 -27.65 11.95 -.25 -27.75
4 0 13.5 -.25 -26.7 12.7 -.25 -26.65 11.95 -.25 -27.75 12.65 -.25 -27.65
4 0 12.7 -.25 -26.65 13.5 -.25 -26.7 14.85 -.25 -26.1 14.1 -.25 -25.8
4 0 16.45 -.25 -25.75 15.55 -.25 -25.4 14.1 -.25 -25.8 14.85 -.25 -26.1
4 0 17.9 -.25 -25.5 17.05 -.25 -25 15.55 -.25 -25.4 16.45 -.25 -25.75
4 0 13.75 -.25 -22.6 17.05 -.25 -25 17.9 -.25 -25.5 17.95 -.25 -25
3 0 13.55 -.25 -21.75 13.75 -.25 -22.6 17.95 -.25 -25
4 0 13.55 -.25 -21.75 8.0793 -.25 -30.0378 8.8335 -.25 -30.0378 13.75 -.25 -22.6
3 0 10.45 -.25 -29.2 10.45 -.25 -29.85 10.9 -.25 -29.5
4 0 11.85 -.25 -18.5 12.9 -.25 -18 13.8405 -.25 -16.0201 13.1396 -.25 -16.0201
4 0 9.85 -.25 -22.2 10.7 -.25 -22 12.9 -.25 -18 11.85 -.25 -18.5
4 0 10.7 -.25 -22 9.85 -.25 -22.2 6.85 -.25 -27.4 7.7 -.25 -27.3
4 0 2.6647 -.25 -30.0378 1.9 -.25 -29 1.05 -.25 -28.85 1.9152 -.25 -30.0378
4 0 1.9 -.25 -29 4.05 -.25 -25.55 3.6 -.25 -24.65 1.05 -.25 -28.85
4 0 4.05 -.25 -25.55 6.5 -.25 -21.35 6.15 -.25 -20.4 3.6 -.25 -24.65
4 0 7.7 -.25 -17.7 6.15 -.25 -20.4 6.5 -.25 -21.35 8.35 -.25 -18.15
4 0 7.7 -.25 -17.7 8.35 -.25 -18.15 9.5388 -.25 -16.0201 8.5894 -.25 -16.0201
