0 Sticker  4.5 x  2.9 with Brick
0 Name: 6267174f.dat
0 Author: Howard Lande [HowardLande]
0 !LDRAW_ORG Part UPDATE 2022-02
0 !LICENSE Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !KEYWORDS Clock Tower, Hogwarts, Set 75948

0 !HISTORY 2021-11-14 [MagFors] Simplified backside, removed edge lines
0 !HISTORY 2022-03-06 [PTadmin] Official Update 2022-02


4 16 -29 0 -19 -29 0 45 9 0 45 9 0 -5
4 16 -29 0 -19 9 0 -5 29 0 -5 -12 0 -19
4 16 29 0 -45 -12 0 -45 -12 0 -19 29 0 -5
4 16 9 0 45 -29 0 45 -29 -0.25 45 9 -0.25 45
4 16 9 0 -5 9 0 45 9 -0.25 45 9 -0.25 -5
4 16 -29 0 -19 -29 -0.25 -19 -29 -0.25 45 -29 0 45
4 16 -12 0 -19 -12 -0.25 -19 -29 -0.25 -19 -29 0 -19
4 16 9 0 -5 9 -0.25 -5 29 -0.25 -5 29 0 -5
4 16 29 -0.25 -45 29 0 -45 29 0 -5 29 -0.25 -5
4 16 -12 0 -45 -12 -0.25 -45 -12 -0.25 -19 -12 0 -19
4 16 29 0 -45 29 -0.25 -45 -12 -0.25 -45 -12 0 -45

4 70 -21.95 -0.25 9.08 -22.67 -0.25 8.6 -21.7 -0.25 8.2 -20.87 -0.25 9.23
4 70 -20.87 -0.25 9.23 -21.7 -0.25 8.2 -20.4 -0.25 8.18 -19.55 -0.25 9.18
4 70 -19.55 -0.25 9.18 -20.4 -0.25 8.18 -19.15 -0.25 8.1 -18.27 -0.25 9.18
4 70 -18.27 -0.25 9.18 -19.15 -0.25 8.1 -18.05 -0.25 8.1 -16.87 -0.25 9.1
4 70 -16.87 -0.25 9.1 -18.05 -0.25 8.1 -16.9 -0.25 8.13 -15.7 -0.25 9.23
3 70 -15.7 -0.25 9.23 -16.9 -0.25 8.13 -15.9 -0.25 8.08
4 70 -15.7 -0.25 9.23 -15.9 -0.25 8.08 -15.2 -0.25 7.8 -14.67 -0.25 9.33
4 70 -13.95 -0.25 9.05 -14.67 -0.25 9.33 -15.2 -0.25 7.8 -13.45 -0.25 7.4
4 70 -13.95 -0.25 9.05 -13.45 -0.25 7.4 -12.85 -0.25 7.78 -13.02 -0.25 9.15
4 70 -12.17 -0.25 9.25 -13.02 -0.25 9.15 -12.85 -0.25 7.78 -12.12 -0.25 8
4 70 -11.53 -0.25 9.13 -12.17 -0.25 9.25 -12.12 -0.25 8 -11.45 -0.25 7.85
4 70 -10.65 -0.25 8.73 -11.53 -0.25 9.13 -11.45 -0.25 7.85 -10.73 -0.25 7.53
4 70 -9.85 -0.25 8.53 -10.65 -0.25 8.73 -10.73 -0.25 7.53 -9.85 -0.25 7.45
4 70 -8.83 -0.25 8.55 -9.85 -0.25 8.53 -9.85 -0.25 7.45 -8.55 -0.25 7.53
4 70 -7.88 -0.25 8.55 -8.83 -0.25 8.55 -8.55 -0.25 7.53 -7.55 -0.25 7.55
4 70 -6.9 -0.25 8.63 -7.88 -0.25 8.55 -7.55 -0.25 7.55 -6.43 -0.25 7.58
4 70 -5.93 -0.25 8.85 -6.9 -0.25 8.63 -6.43 -0.25 7.58 -5.3 -0.25 7.63
4 70 -5.1 -0.25 9.43 -5.93 -0.25 8.85 -5.3 -0.25 7.63 -4.2 -0.25 7.65
4 70 -5.1 -0.25 9.43 -4.2 -0.25 7.65 -3.25 -0.25 9.25 -3.5 -0.25 10.2
4 70 -4.75 -0.25 10.35 -5.1 -0.25 9.43 -3.5 -0.25 10.2 -3.73 -0.25 10.98
4 70 -4.6 -0.25 11.35 -4.75 -0.25 10.35 -3.73 -0.25 10.98 -3.9 -0.25 12.03
4 70 -4.48 -0.25 12.6 -4.6 -0.25 11.35 -3.9 -0.25 12.03 -4 -0.25 13.33
3 70 -4.48 -0.25 12.6 -4 -0.25 13.33 -4.28 -0.25 14.45
4 70 -3.25 -0.25 9.25 -4.2 -0.25 7.65 -3.03 -0.25 7.6 -2.6 -0.25 8.83
4 70 -2.6 -0.25 8.83 -3.03 -0.25 7.6 -2.03 -0.25 7.78 -1.93 -0.25 8.9
4 70 -1.93 -0.25 8.9 -2.03 -0.25 7.78 -1.08 -0.25 8 -0.95 -0.25 9.15
4 70 -0.95 -0.25 9.15 -1.08 -0.25 8 -0.2 -0.25 8.18 0.15 -0.25 9.25
4 70 0.15 -0.25 9.25 -0.2 -0.25 8.18 0.77 -0.25 8.1 1.2 -0.25 9.18
4 70 1.2 -0.25 9.18 0.77 -0.25 8.1 1.85 -0.25 8.1 2.4 -0.25 9.2
4 70 2.4 -0.25 9.2 1.85 -0.25 8.1 2.9 -0.25 8.08 3.5 -0.25 9.1
4 70 3.5 -0.25 9.1 2.9 -0.25 8.08 3.82 -0.25 8.13 4.52 -0.25 9.03
4 70 4.52 -0.25 9.03 3.82 -0.25 8.13 5.05 -0.25 8.13 5.37 -0.25 9.08
3 70 5.05 -0.25 8.13 6.55 -0.25 8.13 5.37 -0.25 9.08
4 70 -13.45 -0.25 7.4 -15.2 -0.25 7.8 -14.82 -0.25 7.35 -13.75 -0.25 6.95
4 70 -13.75 -0.25 6.95 -14.82 -0.25 7.35 -14.67 -0.25 6.68 -13.95 -0.25 5.98
