0 Panel Ramp Curved  8 x 12 x  6
0 Name: 43085.dat
0 Author: Philippe Hurbain [Philo]
0 !LDRAW_ORG Part UPDATE 2020-02
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 !HELP The ramp is a segment of cylinder: center 0 -110 -220; radius 230

0 BFC CERTIFY CCW

0 !KEYWORDS Skateboard, Snowboard, Sports

0 !HISTORY 2013-05-29 {LEGO Digital Designer} Original part shape
0 !HISTORY 2013-05-29 [Philo] File preparation for LDraw Parts Tracker
0 !HISTORY 2013-12-23 [PTadmin] Official Update 2013-02
0 !HISTORY 2020-06-20 [Sirio] Added primitives and reworked the ramp
0 !HISTORY 2020-09-05 [PTadmin] Official Update 2020-02

0 // Primitives

1 16 0 0 -10 1 0 0 0 1 0 0 0 1 stug-1x8.dat
1 16 60 0 10 1 0 0 0 1 0 0 0 1 stug-1x2.dat
1 16 -60 0 10 1 0 0 0 1 0 0 0 1 stug-1x2.dat
1 16 0 0 10 1 0 0 0 1 0 0 0 1 stug2-1x4.dat
1 16 70 128 -210 1 0 0 0 1 0 0 0 1 stud.dat
1 16 -70 128 -210 1 0 0 0 1 0 0 0 1 stud.dat
1 16 -60 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 -60 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 -60 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 -60 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 -60 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 -60 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 -40 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 -40 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 -40 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 -40 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 -40 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 -40 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 -20 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 -20 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 -20 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 -20 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 -20 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 -20 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 0 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 0 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 0 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 0 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 0 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 0 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 20 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 20 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 20 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 20 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 20 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 20 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 40 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 40 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 40 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 40 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 40 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 40 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 60 114.15 -160 1 0 0 0 -7.4625 0 0 0 1 stud4a.dat
1 16 60 118.5 -180 1 0 0 0 -6.375 0 0 0 1 stud4a.dat
1 16 60 114.15 -160 8 0 0 0 -.7 0 0 0 8 2-4cyli.dat
1 16 60 120 -180 6 0 0 0 1 0 0 0 -6 2-4edge.dat
1 16 60 120 -180 8 0 0 0 1 0 0 0 -8 2-4edge.dat
1 16 60 116.1317 -160 -6 0 0 0 1 1.1925 0 0 -6 2-4edge.dat
1 16 0 0 0 0 0 -80 0 1 0 20 0 0 rect.dat
1 16 -40 118.5563 -170 0 0 1 0 14.4437 0 -2.1989 0 0 box3u10p.dat
1 16 0 118.5563 -170 0 0 1 0 14.4437 0 -2.1989 0 0 box3u10p.dat
1 16 40 118.5563 -170 0 0 1 0 14.4437 0 -2.1989 0 0 box3u10p.dat
1 16 -40 113.5657 -148.09945 0 0 1 0 19.4343 0 -4.09945 0 0 box3u7a.dat
1 16 0 113.5657 -148.09945 0 0 1 0 19.4343 0 -4.09945 0 0 box3u7a.dat
1 16 40 113.5657 -148.09945 0 0 1 0 19.4343 0 -4.09945 0 0 box3u7a.dat
